squirrel_id,grid,locx,locy,year,sex,survived,survived2,survived3,all_litters_fit,mast,social_survival,social_survival2,social_survival3,social_repro,age,std_soc_repro,std_soc_surv,std_soc_surv2,std_soc_surv3
1321,KL,5,9.5,1990,F,1,0,0.5,0,n,2.131422925,-1.7756917,0.177865613,0.751976285,4,-0.211563968,-0.209598829,-0.640247912,-0.604701614
1397,KL,1,5.5,1990,F,1,0,0.5,0,n,3.26284585,-2.007905138,0.627470356,1.591897233,4,2.024866895,1.294187701,-1.101454783,0.52798236
1574,KL,9.2,4.9,1990,F,1,0,0.5,0,n,1.495059289,-1.914031621,-0.209486166,0.71541502,2,-0.308914488,-1.055396668,-0.915009452,-1.580552422
1740,KL,-1.9,1,1990,F,1,0,0.5,0,n,2.68083004,-0.949604743,0.865612648,0.840909091,2,0.025234594,0.52062415,1.000470996,1.127931453
1890,KL,-1.3,3,1990,F,1,0,0.5,0,n,2.838932806,-1.058300395,0.890316206,0.875494071,4,0.117322924,0.730760259,0.784586929,1.190166837
1944,KL,0,5.5,1990,F,1,0,0.5,0,n,3.187747036,-1.687747036,0.75,1.35770751,2,1.401297349,1.194373049,-0.465578076,0.83666986
715,SU,10,8,1990,F,0,-1,-0.5,0,n,3.977272727,-2.339920949,0.818675889,1.350790514,4,1.014139763,0.538183156,-1.205212016,-0.192072777
722,SU,9,6,1990,F,0,-1,-0.5,0,n,3.346837945,-2.513833992,0.416501976,1.470355731,2,1.386355928,-0.026719051,-1.448301834,-0.782586683
783,SU,1,10,1990,F,0,-1,-0.5,0,n,5.149209486,-0.663043478,2.243083004,0.740118577,2,-0.886931225,1.588299171,1.138671054,1.899391093
835,SU,15,1.5,1990,F,0,-1,-0.5,2,n,1.45256917,-1.066205534,0.193181818,0.51284585,3,-1.594449554,-1.724081953,0.575144658,-1.110488753
849,SU,6,7,1990,F,0,-1,-0.5,0,n,4.041501976,-1.693675889,1.173913043,1.031620553,4,0.020537936,0.595735888,-0.301912354,0.329523658
852,SU,9.9,1,1990,F,0,-1,-0.5,0,n,2.903162055,-1.860671937,0.521245059,1.598814229,4,1.786257592,-0.42427562,-0.535333826,-0.628791906
872,SU,10.5,10.5,1990,F,0,-1,-0.5,0,n,3.998023715,-1.71541502,1.141304348,1.595849802,4,1.777029092,0.556777115,-0.332298581,0.281644152
879,SU,9.2,2.5,1990,F,0,-1,-0.5,1,n,2.89229249,-2.199604743,0.346343874,0.949604743,4,-0.234783896,-0.434015314,-1.009082732,-0.885600165
899,SU,11.5,5,1990,F,0,-1,-0.5,1,n,2.878458498,-2.168972332,0.354743083,1.119565217,4,0.294316768,-0.446411287,-0.966265775,-0.873267565
1148,SU,15,6,1990,F,1,0,0.5,0,n,1.902173913,-1.624505929,0.138833992,1.223320158,2,0.617314266,-1.321212824,-0.205228903,-1.19028793
1178,SU,4.9,10.5,1990,F,1,0,0.5,0,n,5.15513834,-1.550395257,1.802371542,1.046442688,1,0.066680436,1.593611731,-0.101639493,1.252292317
1195,SU,7.5,1.2,1990,F,1,0,0.5,0,n,2.108695652,-2.108695652,7.37E-17,1.253952569,4,0.712675432,-1.136158653,-0.882013054,-1.394138553
1266,SU,2.5,15,1990,F,1,0,0.5,0,n,3.738142292,-0.703557312,1.51729249,1.223320158,4,0.617314266,0.323909905,1.082042176,0.833709364
1271,SU,11,1,1990,F,1,0,0.5,0,n,1.664031621,-2.668972332,-0.502470356,1.524703557,3,1.555545093,-1.534600648,-1.665149001,-2.131918212
1278,SU,-0.5,4,1990,F,1,0,0.5,1,n,3.382411067,-0.710474308,1.335968379,0.303359684,3,-2.246596883,0.005156308,1.072373831,0.567470293
1295,SU,3,11.3,1990,F,1,0,0.5,0,n,5.494071146,-1.380434783,2.056818182,0.938735178,4,-0.268621729,1.897313074,0.135925556,1.625897552
1299,SU,4,18,1990,F,1,0,0.5,1,n,2.566205534,-0.472332016,1.046936759,1.032608696,3,0.023614103,-0.72620611,1.405241137,0.143083764
1304,SU,0.5,3,1990,F,1,0,0.5,0,n,3.589920949,-0.772727273,1.408596838,1.144268775,2,0.371220934,0.191095906,0.985358725,0.674111011
1307,SU,0,0,1990,F,1,0,0.5,0,n,2.767786561,-0.53458498,1.116600791,0.51284585,1,-1.594449554,-0.545579072,1.318226032,0.245371799
1355,SU,2.4,4.5,1990,F,1,0,0.5,0,n,3.561264822,-1.191699605,1.184782609,0.922924901,4,-0.317840395,0.165418533,0.399733256,0.345483493
1472,SU,14,11,1990,F,1,0,0.5,0,n,2.087944664,-1.597826087,0.245059289,1.026679842,2,0.005157103,-1.154752612,-0.167936715,-1.034316812
1516,SU,2.8,12.9,1990,F,1,0,0.5,0,n,5.136363636,-1.027667984,2.054347826,1.054347826,4,0.091289769,1.576788624,0.629011152,1.622270316
1517,SU,6,16,1990,F,1,0,0.5,2,n,3.000988142,-0.777667984,1.111660079,0.741106719,3,-0.883855058,-0.336618381,0.978452765,0.238117329
1519,SU,0,0,1990,F,1,0,0.5,0,n,2.767786561,-0.53458498,1.116600791,0.51284585,4,-1.594449554,-0.545579072,1.318226032,0.245371799
1620,SU,5.2,11.6,1990,F,1,0,0.5,0,n,5.078063241,-1.404150198,1.836956522,1.177865613,1,0.4758106,1.524548452,0.102776945,1.303073611
1689,SU,0.5,10.2,1990,F,1,0,0.5,0,n,3.85770751,-1.590909091,1.133399209,0.695652174,4,-1.025358724,0.43104653,-0.15826837,0.270036999
1693,SU,11,12,1990,F,1,0,0.5,1,n,2.745059289,-2.240118577,0.252470356,0.778656126,4,-0.766960726,-0.565943886,-1.06571161,-1.023435106
1935,SU,1,7,1990,F,1,0,0.5,0,n,3.634387352,-1.201581028,1.216403162,0.818181818,4,-0.64391406,0.230940106,0.385921335,0.391912105
1937,SU,13,7,1990,F,1,0,0.5,0,n,2.515810277,-2.25,0.132905138,1.397233202,2,1.158719596,-0.77136287,-1.079523531,-1.198993294
2098,SU,9,9,1990,F,1,0,0.5,0,n,3.610671937,-2.993083004,0.308794466,1.278656126,1,0.789579598,0.209689866,-2.118180024,-0.940734142
2119,SU,2,11.9,1990,F,1,0,0.5,0,n,5.225296443,-1.233201581,1.996047431,0.856719368,2,-0.52394356,1.656477023,0.341723186,1.536667564
2227,SU,0.5,18.5,1990,F,1,0,0.5,0,n,1.900197628,-0.312252964,0.793972332,0.7756917,1,-0.776189226,-1.322983677,1.628994265,-0.22834513
2295,SU,7,9.3,1990,F,1,0,0.5,0,n,4.205533597,-2.229249012,0.988142292,1.131422925,3,0.331230768,0.742716713,-1.050518496,0.056755564
4850,SU,12.6,13.9,1990,F,0,-1,-0.5,0,n,2.471343874,-0.909090909,0.781126482,1.109683794,4,0.263555101,-0.81120707,0.794754209,-0.247206754
1072,KL,-2.5,11,1991,F,0,-1,-0.5,0,n,1.523715415,-1.099802372,0.211956522,1.483201581,4,-0.349365004,-0.045888852,0.262411256,0.125911716
1149,KL,-5,0,1991,F,0,-1,-0.5,0,n,1.398221344,-0.82312253,0.287549407,2.567193676,1,0.917037567,-0.29640876,0.954542083,0.358308769
1181,KL,1,10,1991,F,0,-1,-0.5,2,n,1.650197628,-1.002964427,0.323616601,1.187747036,3,-0.694537628,0.206603654,0.504657045,0.469191023
1183,KL,10,1,1991,F,0,-1,-0.5,0,n,1.559288538,-0.640316206,0.459486166,1.026679842,1,-0.882708657,0.025124665,1.411842809,0.886898145
1200,KL,-2,1,1991,F,0,-1,-0.5,1,n,2.0256917,-1.095849802,0.464920949,2.92687747,2,1.337247718,0.956190781,0.272298839,0.90360643
1215,KL,-4,9,1991,F,0,-1,-0.5,0,n,1.928853755,-1.077075099,0.425889328,1.535573123,1,-0.288180559,0.762876206,0.319264859,0.783610566
